Username,Hashtags,Headings,Likes,Comments,Repost,Replies
ekow_hudson,['NA'],"THE heart CHANGE COLOUR WHEN YOU LIKE
👉🏿👇🏾👇🏾👇🏾👇🏾👇🏾👇🏾👇🏾👇🏾👇🏾👈🏿
👉🏿👉🏾👇🏽👇🏽👇🏽👇🏽👇🏽👇🏽👇🏽👈🏾👈🏿
👉🏿👉🏾👉🏽👇🏼👇🏼👇🏼👇🏼👇🏼👈🏽👈🏾👈🏿
👉🏿👉🏾👉🏽👉🏼👇🏻👇🏻👇🏻👈🏼👈🏽👈🏾👈🏿
👉🏿👉🏾👉🏽👉🏼👉🏻🤍👈🏻👈🏼👈🏽👈🏾👈🏿
👉🏿👉🏾👉🏽👉🏼👆🏻👆🏻👆🏻👈🏼👈🏽👈🏾👈🏿
👉🏿👉🏾👉🏽👆🏼👆🏼👆🏼👆🏼👆🏼👈🏽👈🏾👈🏿
👉🏿👉🏾👆🏽👆🏽👆🏽👆🏽👆🏽👆🏽👆🏽👈🏾👈🏿
👉🏿👆🏾👆🏾👆🏾👆🏾👆🏾👆🏾👆🏾👆🏾👆🏾👈🏿
👉🏿👆🏿👆🏿👆🏿👆🏿👆🏿👆🏿👆🏿👆🏿👆🏿👈🏿",2.7K,27,14,
anime_professor_telugu,['anime #animeprofessortelugu #animeedit #animetelugu #animetelugumemes #animetelugufans #otakutelugu'],Zenitsu is the main character,1K,8,21,
_animeop_,['~Anime Threads'],⚡️,5.7K,33,418,
lenswithaglance,"['⭐️Rating 2/5', 'What I liked:\n1. Amazing visual effects \n2. The Mahabharat connection (which I definitely not guessed from the trailer)\n3. Massy BGM (specially the climax one)', 'What I dislike:\n1. Poor songs\n2. Unnecessarily long runtime\n3. Too much characters\n4. Unnecessary cameo of Disha Patani\n5. Resemblance from Marvel\n6. Kamal Haasan’s role was limited']",Kalki 2898 AD - Honest Review,42,4,1,
tanjiiro.tt,['NA'],DemonSlayer Ep 8 Wallpapers 🔥,803,5,63,
kyou.acab,['NA'],DemonSlayer S4 Hashira Training Arc be like:,3.4K,25,170,
hypekagetv,['NA'],"Demon Slayer Season 4 episode 8 just got a near-perfect 9.9/10 on IMDB, and that's from 7,300 people (including me) who rated it! This is undoubtedly one of the BEST episodes in the entire series! demonslayer",542,4,19,
thecrazybuff,['Tollywood #Telugu #Hindi #Tamil #Kannada #Malayalam #Prabhas #MaheshBabu #NTR #JrNTR #PawanKalyan #RamCharan #AlluArjun #ViralReels #TrendingSongs #TrendingReels #TheCrazyBuff'],"🅕🅞🅛🅛🅞🅦 👉 @TheCrazyBuff
#nagarjuna #nagarjunaakkineni
#upasana #upasanakonidela #kalki2898ad #devara #salaar #bharateeyudu2 #pushpa2 #rohitsharma #viratkohli",45,,,
mranimerao,"['I\nF', 'Y\nO\nU', 'L\nO\nV\nE', 'A\nN\nI\nM\nE\n✨']","L
I
K
E",443,5,5,
electrifyingcodes,['Name a better trio than this ? 👇🏼'],"HTML
CSS
JS",15,32,456,
